word,num_videos,num_signers,signers,videos
خضار,2,1,S01,"0110_S01_T01.mp4, 0110_S01_T02.mp4"
سيارة,2,1,S03,"0136_S03_T01.mp4, 0136_S03_T02.mp4"
خدمة,2,1,S04,"0219_S04_T01.mp4, 0219_S04_T02.mp4"
مثلث,2,2,"S03, S06","0328_S03_T01.mp4, 0328_S06_T01.mp4"
سرير,2,1,S01,"0073_S01_T01.mp4, 0073_S01_T02.mp4"
متى؟,2,2,"S07, S09","0584_S07_T01.mp4, 0584_S09_T01.mp4"
موافقة,2,1,S04,"0213_S04_T01.mp4, 0213_S04_T02.mp4"
مطبخ,2,1,S01,"0068_S01_T01.mp4, 0068_S01_T02.mp4"
نافذة,2,1,S01,"0072_S01_T01.mp4, 0072_S01_T02.mp4"
مسموح,2,1,S04,"0211_S04_T01.mp4, 0211_S04_T02.mp4"
إضافة,2,1,S04,"0266_S04_T01.mp4, 0266_S04_T02.mp4"
رأس,2,1,S01,"0020_S01_T01.mp4, 0020_S01_T02.mp4"
جاهز,2,1,S03,"0174_S03_T01.mp4, 0174_S03_T02.mp4"
طوارئ,2,1,S04,"0220_S04_T01.mp4, 0220_S04_T02.mp4"
أصم,2,1,S04,"0221_S04_T01.mp4, 0221_S04_T02.mp4"
تصوير,2,1,S04,"0231_S04_T01.mp4, 0231_S04_T02.mp4"
رياح,2,1,S03,"0187_S03_T01.mp4, 0187_S03_T02.mp4"
بارد,2,1,S01,"0117_S01_T01.mp4, 0117_S01_T02.mp4"
علاج,2,1,S04,"0253_S04_T01.mp4, 0253_S04_T02.mp4"
حمام,2,1,S01,"0069_S01_T01.mp4, 0069_S01_T02.mp4"
مصرف,2,1,S03,"0125_S03_T01.mp4, 0125_S03_T02.mp4"
تواصل,2,1,S04,"0227_S04_T01.mp4, 0227_S04_T02.mp4"
عيادة,2,1,S01,"0002_S01_T01.mp4, 0002_S01_T02.mp4"
جغرافيا,2,2,"S03, S06","0333_S03_T01.mp4, 0333_S06_T01.mp4"
بوابة,2,1,S03,"0135_S03_T01.mp4, 0135_S03_T02.mp4"
عين,2,1,S01,"0025_S01_T01.mp4, 0025_S01_T02.mp4"
صيانة,2,1,S03,"0196_S03_T01.mp4, 0196_S03_T02.mp4"
خطر,2,1,S04,"0207_S04_T01.mp4, 0207_S04_T02.mp4"
اخرج,2,1,S03,"0155_S03_T01.mp4, 0155_S03_T02.mp4"
مطر,2,1,S03,"0181_S03_T01.mp4, 0181_S03_T02.mp4"
بطن,2,1,S01,"0022_S01_T01.mp4, 0022_S01_T02.mp4"
حفظ,2,1,S04,"0234_S04_T01.mp4, 0234_S04_T02.mp4"
انتظار,2,1,S03,"0173_S03_T01.mp4, 0173_S03_T02.mp4"
الأفعال,2,2,"S06, S07","0479_S06_T01.mp4, 0479_S07_T01.mp4"
مهم,2,1,S04,"0205_S04_T01.mp4, 0205_S04_T02.mp4"
اجتماع,2,1,S03,"0172_S03_T01.mp4, 0172_S03_T02.mp4"
بطيء,2,1,S03,"0180_S03_T01.mp4, 0180_S03_T02.mp4"
مشاركة,2,1,S04,"0239_S04_T01.mp4, 0239_S04_T02.mp4"
فصل,2,1,S04,"0247_S04_T01.mp4, 0247_S04_T02.mp4"
اتصال,2,1,S04,"0246_S04_T01.mp4, 0246_S04_T02.mp4"
مظلة,2,1,S03,"0189_S03_T01.mp4, 0189_S03_T02.mp4"
برد,2,1,S03,"0186_S03_T01.mp4, 0186_S03_T02.mp4"
شبكة,2,1,S04,"0243_S04_T01.mp4, 0243_S04_T02.mp4"
ناجح,2,2,"S03, S06","0330_S03_T01.mp4, 0330_S06_T01.mp4"
عائلة,2,1,S01,"0097_S01_T01.mp4, 0097_S01_T02.mp4"
رفض,2,1,S04,"0214_S04_T01.mp4, 0214_S04_T02.mp4"
يصعد,1,1,S07,0525_S07_T01.mp4
باذنجان,1,1,S06,0676_S06_T01.mp4
يسقط,1,1,S06,0767_S06_T01.mp4
يدخل,1,1,S07,0494_S07_T01.mp4
ابتزاز,1,1,S06,0779_S06_T01.mp4
كل,1,1,S07,0578_S07_T01.mp4
يخرب,1,1,S07,0508_S07_T01.mp4
يلعب,1,1,S07,0526_S07_T01.mp4
ينظر,1,1,S07,0510_S07_T01.mp4
يوجد,1,1,S07,0542_S07_T01.mp4
إسهال,1,1,S03,0319_S03_T01.mp4
يرى,1,1,S06,0765_S06_T01.mp4
ماذا؟,1,1,S09,0649_S09_T01.mp4
حصن,1,1,S06,0735_S06_T01.mp4
شريك,1,1,S07,0605_S07_T01.mp4
بدوي,1,1,S06,0790_S06_T01.mp4
متكبر,1,1,S07,0569_S07_T01.mp4
يعرف,1,1,S07,0515_S07_T01.mp4
عنب,1,1,S06,0686_S06_T01.mp4
يخلع,1,1,S07,0534_S07_T01.mp4
بخيل,1,1,S07,0547_S07_T01.mp4
إحساس,1,1,S07,0570_S07_T01.mp4
أنت,1,1,S07,0447_S07_T01.mp4
يفتح,1,1,S07,0485_S07_T01.mp4
يقف,1,1,S07,0506_S07_T01.mp4
يرتاح,1,1,S07,0489_S07_T01.mp4
لبن,1,1,S06,0689_S06_T01.mp4
مذيع,1,1,S07,0622_S07_T01.mp4
يأخذ,1,1,S07,0517_S07_T01.mp4
محل,1,1,S07,0635_S07_T01.mp4
يا,1,1,S09,0655_S09_T01.mp4
فضي,1,1,S07,0396_S07_T01.mp4
كلية,1,1,S07,0637_S07_T01.mp4
يجمع,1,1,S06,0754_S06_T01.mp4
خيار,1,1,S06,0674_S06_T01.mp4
ليمون,1,1,S06,0682_S06_T01.mp4
مرة,1,1,S09,0663_S09_T01.mp4
شعب,1,1,S06,0791_S06_T01.mp4
طلاق,1,1,S07,0441_S07_T01.mp4
مسلم,1,1,S07,0472_S07_T01.mp4
جرح,1,1,S03,0323_S03_T01.mp4
تأجيل,1,1,S07,0533_S07_T01.mp4
تجارة,1,1,S07,0639_S07_T01.mp4
طويل,1,1,S07,0571_S07_T01.mp4
محاسب,1,1,S07,0600_S07_T01.mp4
سعيد,1,1,S07,0552_S07_T01.mp4
يحفظ,1,1,S03,0332_S03_T01.mp4
يركض,1,1,S07,0537_S07_T01.mp4
خطوبة,1,1,S07,0431_S07_T01.mp4
الحاضر,1,1,S07,0580_S07_T01.mp4
الجمعية,1,1,S07,0360_S07_T01.mp4
مرة ثانية,1,1,S09,0665_S09_T01.mp4
اتجاه,1,1,S09,0673_S09_T01.mp4
موت,1,1,S07,0444_S07_T01.mp4
العشاء,1,1,S07,0589_S07_T01.mp4
صادق,1,1,S07,0564_S07_T01.mp4
بنفسجي,1,1,S07,0399_S07_T01.mp4
حلاق,1,1,S07,0614_S07_T01.mp4
يمسك,1,1,S07,0519_S07_T01.mp4
حسب,1,1,S09,0669_S09_T01.mp4
صبر,1,1,S07,0554_S07_T01.mp4
موز,1,1,S06,0685_S06_T01.mp4
أنا,1,1,S07,0376_S07_T01.mp4
لو,1,1,S09,0660_S09_T01.mp4
مع السلامة,1,1,S07,0426_S07_T01.mp4
يتنفس,1,1,S06,0756_S06_T01.mp4
سائق,1,1,S07,0615_S07_T01.mp4
تقويم,1,1,S06,0712_S06_T01.mp4
البحر,1,1,S07,0641_S07_T01.mp4
هما,1,1,S07,0453_S07_T01.mp4
الماضي,1,1,S07,0579_S07_T01.mp4
لماذا؟,1,1,S09,0650_S09_T01.mp4
يفكر,1,1,S07,0518_S07_T01.mp4
مخادع,1,1,S07,0567_S07_T01.mp4
يجلس,1,1,S07,0520_S07_T01.mp4
بيع,1,1,S07,0558_S07_T01.mp4
شقة,1,1,S07,0631_S07_T01.mp4
البداية,1,1,S07,0582_S07_T01.mp4
غدر,1,1,S07,0566_S07_T01.mp4
من؟,1,1,S09,0652_S09_T01.mp4
محكمة,1,1,S06,0728_S06_T01.mp4
يرفع,1,1,S06,0747_S06_T01.mp4
كوخ,1,1,S06,0721_S06_T01.mp4
برتقال,1,1,S06,0683_S06_T01.mp4
يمنع,1,1,S07,0527_S07_T01.mp4
يشجع,1,1,S06,0751_S06_T01.mp4
فيزياء,1,1,S06,0699_S06_T01.mp4
قصير,1,1,S07,0572_S07_T01.mp4
بهارات,1,1,S06,0691_S06_T01.mp4
بعد,1,1,S07,0577_S07_T01.mp4
موظف,1,1,S07,0618_S07_T01.mp4
غالباً,1,1,S06,0706_S06_T01.mp4
سوف,1,1,S06,0769_S06_T01.mp4
زيت,1,1,S06,0695_S06_T01.mp4
زكاة,1,1,S07,0464_S07_T01.mp4
منذ,1,1,S06,0710_S06_T01.mp4
سيئات,1,1,S07,0477_S07_T01.mp4
امرأة,1,1,S06,0786_S06_T01.mp4
يتكلم,1,1,S07,0507_S07_T01.mp4
يرفض,1,1,S06,0762_S06_T01.mp4
يغسل,1,1,S07,0483_S07_T01.mp4
ذهبي,1,1,S07,0395_S07_T01.mp4
الصفات,1,1,S07,0544_S07_T01.mp4
وردي,1,1,S07,0398_S07_T01.mp4
عفواً,1,1,S07,0428_S07_T01.mp4
هن,1,1,S07,0455_S07_T01.mp4
لا,1,1,S09,0672_S09_T01.mp4
ضيف,1,1,S07,0425_S07_T01.mp4
صراف,1,1,S07,0624_S07_T01.mp4
أمام,1,1,S07,0646_S07_T01.mp4
أحمر,1,1,S07,0388_S07_T01.mp4
كيف؟,1,1,S09,0653_S09_T01.mp4
الأحد,1,1,S07,0591_S07_T01.mp4
مكار,1,1,S07,0555_S07_T01.mp4
دقيقة,1,1,S07,0574_S07_T01.mp4
شاطئ,1,1,S07,0642_S07_T01.mp4
المغرب,1,1,S07,0588_S07_T01.mp4
حديقة,1,1,S07,0633_S07_T01.mp4
قرن,1,1,S06,0716_S06_T01.mp4
حسنات,1,1,S07,0476_S07_T01.mp4
لي,1,1,S07,0456_S07_T01.mp4
يقود,1,1,S07,0492_S07_T01.mp4
يعثر,1,1,S06,0772_S06_T01.mp4
عيد,1,1,S07,0794_S07_T01.mp4
يحتقر,1,1,S06,0764_S06_T01.mp4
نحن,1,1,S07,0446_S07_T01.mp4
نائب,1,1,S05,0349_S05_T01.mp4
محدود,1,1,S06,0711_S06_T01.mp4
معهد,1,1,S07,0418_S07_T01.mp4
أنتما,1,1,S07,0793_S07_T01.mp4
عم,1,1,S07,0366_S07_T01.mp4
مغفرة,1,1,S07,0475_S07_T01.mp4
يكسر,1,1,S07,0512_S07_T01.mp4
هل؟,1,1,S09,0670_S09_T01.mp4
سلطنة عمان,1,1,S07,0648_S07_T01.mp4
جندي,1,1,S07,0603_S07_T01.mp4
انتشار,1,1,S03,0320_S03_T01.mp4
يوافق,1,1,S07,0504_S07_T01.mp4
ينهض,1,1,S06,0763_S06_T01.mp4
بنت,1,1,S07,0365_S07_T01.mp4
يرث,1,1,S06,0755_S06_T01.mp4
حضري,1,1,S06,0797_S06_T01.mp4
يذهب,1,1,S07,0521_S07_T01.mp4
عمة,1,1,S07,0367_S07_T01.mp4
هم,1,1,S07,0454_S07_T01.mp4
بيئة,1,1,S06,0731_S06_T01.mp4
بني,1,1,S07,0394_S07_T01.mp4
شجاع,1,1,S07,0556_S07_T01.mp4
ينام,1,1,S07,0509_S07_T01.mp4
يتدخل,1,1,S06,0744_S06_T01.mp4
حارس,1,1,S07,0612_S07_T01.mp4
يرتدي,1,1,S07,0535_S07_T01.mp4
أقارب,1,1,S07,0436_S07_T01.mp4
يدخن,1,1,S07,0505_S07_T01.mp4
يندهش,1,1,S07,0502_S07_T01.mp4
احتمال,1,1,S09,0659_S09_T01.mp4
يطير,1,1,S07,0514_S07_T01.mp4
يحرك,1,1,S06,0749_S06_T01.mp4
تمر,1,1,S06,0692_S06_T01.mp4
لكن,1,1,S09,0667_S09_T01.mp4
تاجر,1,1,S07,0613_S07_T01.mp4
المستقبل,1,1,S07,0581_S07_T01.mp4
القرآن الكريم,1,1,S07,0461_S07_T01.mp4
يجب,1,1,S07,0487_S07_T01.mp4
أسود,1,1,S07,0392_S07_T01.mp4
يتهم,1,1,S06,0780_S06_T01.mp4
جامع,1,1,S06,0730_S06_T01.mp4
عصور,1,1,S06,0714_S06_T01.mp4
السبت,1,1,S07,0590_S07_T01.mp4
خالة,1,1,S07,0369_S07_T01.mp4
ثانوي,1,1,S06,0801_S06_T01.mp4
يفرغ,1,1,S06,0750_S06_T01.mp4
يبني,1,1,S07,0529_S07_T01.mp4
يحب,1,1,S07,0500_S07_T01.mp4
أعزب,1,1,S07,0438_S07_T01.mp4
اسمي,1,1,S07,0422_S07_T01.mp4
زواج,1,1,S07,0430_S07_T01.mp4
محطة,1,1,S07,0142_S07_T01.mp4
أخضر,1,1,S07,0389_S07_T01.mp4
ينفخ,1,1,S06,0766_S06_T01.mp4
المهن,1,1,S07,0598_S07_T01.mp4
يبقى,1,1,S06,0760_S06_T01.mp4
الجمعة,1,1,S07,0596_S07_T01.mp4
قبل,1,1,S07,0576_S07_T01.mp4
أنتم,1,1,S07,0449_S07_T01.mp4
شروق,1,1,S07,0586_S07_T01.mp4
الصوم,1,1,S07,0465_S07_T01.mp4
يخلط,1,1,S06,0748_S06_T01.mp4
أرمل,1,1,S07,0442_S07_T01.mp4
الأربعاء,1,1,S07,0594_S07_T01.mp4
يشتري,1,1,S07,0513_S07_T01.mp4
محافظة,1,1,S07,0796_S07_T01.mp4
محامي,1,1,S07,0619_S07_T01.mp4
عجوز,1,1,S06,0788_S06_T01.mp4
يدفع,1,1,S06,0774_S06_T01.mp4
يختار,1,1,S07,0540_S07_T01.mp4
الألوان,1,1,S07,0792_S07_T01.mp4
مصنع,1,1,S07,0640_S07_T01.mp4
يضرب,1,1,S07,0536_S07_T01.mp4
ينزل,1,1,S07,0524_S07_T01.mp4
منتزه,1,1,S06,0734_S06_T01.mp4
صهر,1,1,S06,0789_S06_T01.mp4
مزارع,1,1,S07,0623_S07_T01.mp4
جيل,1,1,S06,0718_S06_T01.mp4
يعيد,1,1,S07,0486_S07_T01.mp4
طيار,1,1,S07,0609_S07_T01.mp4
وزير,1,1,S07,0606_S07_T01.mp4
يأكل,1,1,S07,0522_S07_T01.mp4
يدمر,1,1,S06,0777_S06_T01.mp4
فلفل حار,1,1,S06,0681_S06_T01.mp4
كم؟,1,1,S09,0654_S09_T01.mp4
خال,1,1,S07,0368_S07_T01.mp4
يركب,1,1,S07,0516_S07_T01.mp4
لها,1,1,S07,0459_S07_T01.mp4
لك,1,1,S07,0457_S07_T01.mp4
رئيس,1,1,S07,0621_S07_T01.mp4
آسف,1,1,S07,0424_S07_T01.mp4
الدين,1,1,S07,0460_S07_T01.mp4
ميكانيكي,1,1,S07,0625_S07_T01.mp4
بائع,1,1,S07,0611_S07_T01.mp4
بصل,1,1,S06,0679_S06_T01.mp4
مهندس,1,1,S07,0607_S07_T01.mp4
عمارة,1,1,S06,0720_S06_T01.mp4
يستقبل,1,1,S06,0743_S06_T01.mp4
إمساك,1,1,S03,0321_S03_T01.mp4
قاضي,1,1,S07,0620_S07_T01.mp4
قضايا,1,1,S06,0713_S06_T01.mp4
الخميس,1,1,S07,0595_S07_T01.mp4
النهاية,1,1,S07,0583_S07_T01.mp4
طواف,1,1,S07,0469_S07_T01.mp4
رسام,1,1,S07,0601_S07_T01.mp4
وسط,1,1,S07,0647_S07_T01.mp4
صدقة,1,1,S07,0467_S07_T018.mp4
يقول,1,1,S07,0795_S07_T01.mp4
يخاف,1,1,S07,0497_S07_T01.mp4
يهدد,1,1,S06,0761_S06_T01.mp4
بناء,1,1,S07,0610_S07_T01.mp4
الشهادتان,1,1,S07,0462_S07_T01.mp4
خياط,1,1,S07,0602_S07_T01.mp4
يسرق,1,1,S07,0530_S07_T01.mp4
حفيدة,1,1,S06,0785_S06_T01.mp4
هيئة,1,1,S06,0736_S06_T01.mp4
كذب,1,1,S07,0563_S07_T01.mp4
يدعم,1,1,S07,0503_S07_T01.mp4
مسيحي,1,1,S07,0474_S07_T01.mp4
الصلاة,1,1,S07,0463_S07_T01.mp4
يتمنى,1,1,S06,0741_S06_T01.mp4
البنك,1,1,S07,0643_S07_T01.mp4
يحترم,1,1,S07,0490_S07_T01.mp4
جوز الهند,1,1,S06,0690_S06_T01.mp4
حداد,1,1,S07,0604_S07_T01.mp4
مرة أخرى,1,1,S09,0666_S09_T01.mp4
قلعة,1,1,S06,0719_S06_T01.mp4
يشم,1,1,S06,0773_S06_T01.mp4
خادم,1,1,S07,0304_S07_T01.mp4
رمادي,1,1,S07,0429_S07_T01.mp4
ساعة,1,1,S07,0575_S07_T01.mp4
العصر,1,1,S07,0587_S07_T01.mp4
برتقالي,1,1,S07,0393_S07_T01.mp4
إمام,1,1,S07,0471_S07_T01.mp4
ابتدائي,1,1,S06,0702_S06_T01.mp4
توأم,1,1,S07,0434_S07_T01.mp4
سينما,1,1,S06,0737_S06_T01.mp4
تفاح,1,1,S06,0684_S06_T01.mp4
يحتل,1,1,S06,0775_S06_T01.mp4
يخرج,1,1,S07,0495_S07_T01.mp4
ينزلق,1,1,S06,0798_S06_T01.mp4
يعز,1,1,S06,0783_S06_T01.mp4
يغلق,1,1,S07,0484_S07_T01.mp4
سد,1,1,S06,0739_S06_T01.mp4
يقفز,1,1,S06,0746_S06_T01.mp4
ينسحب,1,1,S06,0776_S06_T01.mp4
مخيم,1,1,S07,0632_S07_T01.mp4
عادة,1,1,S06,0799_S06_T01.mp4
يختصر,1,1,S06,0759_S06_T01.mp4
سمن,1,1,S06,0694_S06_T01.mp4
مدة,1,1,S06,0709_S06_T01.mp4
أحياناً,1,1,S06,0705_S06_T01.mp4
عقد,1,1,S06,0717_S06_T01.mp4
ألا,1,1,S07,0597_S07_T01.mp4
كل شيء,1,1,S09,0662_S09_T01.mp4
ناس,1,1,S07,0437_S07_T01.mp4
مانجو,1,1,S06,0687_S06_T01.mp4
شكراً,1,1,S07,0427_S07_T01.mp4
يهرب,1,1,S06,0757_S06_T01.mp4
حلوى,1,1,S06,0693_S06_T01.mp4
يضحك,1,1,S07,0491_S07_T01.mp4
لأول مرة,1,1,S09,0664_S09_T01.mp4
تدريب,1,1,S07,0290_S07_T01.mp4
يريد,1,1,S07,0482_S07_T01.mp4
يضيء,1,1,S06,0768_S06_T01.mp4
نادي,1,1,S07,0636_S07_T01.mp4
يترك,1,1,S07,0538_S07_T01.mp4
صباغ,1,1,S07,0616_S07_T01.mp4
خيانة,1,1,S07,0565_S07_T01.mp4
هي,1,1,S07,0452_S07_T01.mp4
غبي,1,1,S07,0546_S07_T01.mp4
محيط,1,1,S06,0732_S06_T01.mp4
فقير,1,1,S07,0549_S07_T01.mp4
يبحث,1,1,S06,0771_S06_T01.mp4
حكومة,1,1,S06,0727_S06_T01.mp4
ثانية,1,1,S07,0573_S07_T01.mp4
يمتحن,1,1,S06,0752_S06_T01.mp4
شراء,1,1,S07,0557_S07_T01.mp4
له,1,1,S07,0458_S07_T01.mp4
خس,1,1,S06,0677_S06_T01.mp4
سائح,1,1,S07,0626_S07_T01.mp4
جميل,1,1,S07,0559_S07_T01.mp4
هو,1,1,S07,0451_S07_T01.mp4
يشرب,1,1,S07,0523_S07_T01.mp4
يسافر,1,1,S07,0543_S07_T01.mp4
يصطدم,1,1,S06,0770_S06_T01.mp4
يتعلم,1,1,S07,0493_S07_T01.mp4
شخص,1,1,S07,0432_S07_T01.mp4
مول,1,1,S06,0725_S06_T01.mp4
حضانة,1,1,S06,0738_S06_T01.mp4
راشد,1,1,S06,0787_S06_T01.mp4
قسوة,1,1,S07,0561_S07_T01.mp4
الوضوء,1,1,S07,0470_S07_T01.mp4
يشوي,1,1,S07,0511_S07_T01.mp4
مؤسسة,1,1,S06,0726_S06_T01.mp4
ولد,1,1,S07,0364_S07_T01.mp4
رضيع,1,1,S07,0435_S07_T01.mp4
يشبع,1,1,S07,0498_S07_T01.mp4
يطرد,1,1,S07,0541_S07_T01.mp4
العمرة,1,1,S07,0468_S07_T01.mp4
حفيد,1,1,S06,0784_S06_T01.mp4
الثلاثاء,1,1,S07,0593_S07_T01.mp4
يذل,1,1,S06,0782_S06_T01.mp4
مؤقت,1,1,S06,0708_S06_T01.mp4
ملك,1,1,S07,0627_S07_T01.mp4
صيدلي,1,1,S07,0608_S07_T01.mp4
ولادة,1,1,S07,0433_S07_T01.mp4
جبنة,1,1,S06,0688_S06_T01.mp4
حي,1,1,S07,0443_S07_T01.mp4
اعدادي,1,1,S06,0703_S06_T01.mp4
رياضة,1,1,S06,0697_S06_T01.mp4
بطاطا,1,1,S06,0680_S06_T01.mp4
أوقات,1,1,S06,0800_S06_T01.mp4
أزرق,1,1,S07,0390_S07_T01.mp4
ملجأ,1,1,S06,0723_S06_T01.mp4
مكان,1,1,S07,0644_S07_T01.mp4
دائما,1,1,S06,0704_S06_T01.mp4
يكره,1,1,S07,0499_S07_T01.mp4
ممتاز,1,1,S05,0350_S05_T01.mp4
رحمة,1,1,S07,0562_S07_T01.mp4
معاصرة,1,1,S06,0715_S06_T01.mp4
أحياء,1,1,S06,0701_S06_T01.mp4
يبتسم,1,1,S07,0539_S07_T01.mp4
طماطم,1,1,S06,0678_S06_T01.mp4
نعم,1,1,S09,0671_S09_T01.mp4
ذكي,1,1,S07,0545_S07_T01.mp4
نادراً,1,1,S06,0707_S06_T01.mp4
الشباب,1,1,S07,0351_S07_T01.mp4
ينتظر,1,1,S07,0480_S07_T01.mp4
كراج,1,1,S06,0722_S06_T01.mp4
لون,1,1,S07,0387_S07_T01.mp4
الضمائر,1,1,S07,0445_S07_T01.mp4
مزرعة,1,1,S07,0634_S07_T01.mp4
متواضع,1,1,S07,0568_S07_T01.mp4
مع,1,1,S09,0657_S09_T01.mp4
مهرجان,1,1,S06,0724_S06_T01.mp4
يشعر,1,1,S07,0532_S07_T01.mp4
حزين,1,1,S07,0551_S07_T01.mp4
يهودي,1,1,S07,0473_S07_T01.mp4
يفشل,1,1,S07,0496_S07_T01.mp4
أبيض,1,1,S07,0391_S07_T01.mp4
نجار,1,1,S07,0599_S07_T01.mp4
قبيح,1,1,S07,0560_S07_T01.mp4
جمع,1,1,S03,0325_S03_T01.mp4
أنتن,1,1,S07,0450_S07_T01.mp4
أين؟,1,1,S09,0651_S09_T01.mp4
يعتمد,1,1,S07,0488_S07_T01.mp4
بكاء,1,1,S07,0550_S07_T01.mp4
يساعد,1,1,S07,0501_S07_T01.mp4
عروس,1,1,S07,0439_S07_T01.mp4
جزر,1,1,S06,0675_S06_T01.mp4
كافر,1,1,S07,0478_S07_T01.mp4
يعطي,1,1,S07,0528_S07_T01.mp4
يشرح,1,1,S06,0753_S06_T01.mp4
جسر,1,1,S06,0733_S06_T01.mp4
أو,1,1,S09,0658_S09_T01.mp4
مركز صحي,1,1,S07,0638_S07_T01.mp4
يسجل,1,1,S06,0742_S06_T01.mp4
يمشي,1,1,S07,0481_S07_T01.mp4
الفجر,1,1,S07,0585_S07_T01.mp4
مدرب,1,1,S07,0629_S07_T01.mp4
الاثنين,1,1,S07,0592_S07_T01.mp4
غني,1,1,S07,0548_S07_T01.mp4
العسكرية,1,1,S06,0729_S06_T01.mp4
فقط,1,1,S09,0668_S09_T01.mp4
يخترع,1,1,S06,0745_S06_T01.mp4
عريس,1,1,S07,0440_S07_T01.mp4
خلف,1,1,S07,0645_S07_T01.mp4
من فضلك,1,1,S07,0423_S07_T01.mp4
يزن,1,1,S06,0740_S06_T01.mp4
تعب,1,1,S07,0553_S07_T01.mp4
ضابط,1,1,S07,0617_S07_T01.mp4
يدمن,1,1,S06,0781_S06_T01.mp4
يخترق,1,1,S06,0778_S06_T01.mp4
يرمي,1,1,S07,0531_S07_T01.mp4
كيمياء,1,1,S06,0700_S06_T01.mp4
موسيقى,1,1,S06,0698_S06_T01.mp4
شرطي,1,1,S07,0628_S07_T01.mp4
